Raman Shift,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol
148.32,40930.88,46470.14,40012.58,41509.4,52114.6,36056.8,42572.8,35247,39472.5,42895.32,57784.4,50481.9,56766.6,62679.8,60829.3,50496,50507.2,44335.5,49843.5,40954.1,48843.9,49777.7,51265.6,48153.5,51466.5,54437.5,42767.2,33783.8,31971.9,46598.6,32074.5,38885.4,52485.7,43171,43255.4,43915.9,34889.5,38566.5,40981.6,40068.8,46944.4,32195.8,48782.8,48974.7,50308.7,57732.3,63679.9,56842.5,45679.2,39069.64
150.7,39338.24,44262.82,38009.24,39263.08,49107.4,33946.6,39968.3,32863.6,37013.3,40688.06,55219,48179.2,54268.2,60082.8,58202.6,48056.8,47864.7,41873.5,47166.5,38837.56,46251.6,47216.7,48514.3,45441.3,48802.2,51628.8,40484,31954.3,30092.1,44368.36,29980.7,36781.2,49754.3,40601.7,40775.7,41208.4,32622.3,36234.2,38221.8,38029.2,44731.8,30382.3,46050.5,46312.1,47674.9,54806.8,60784.4,53807.8,42980.5,36849.1
153.07,35648.64,38762.52,33382.14,34215.44,42700.6,29370.6,34617.8,28563,32196.6,35544,48905.8,42690.5,48202.1,53654.4,51504.3,42080.6,42118.6,36920,41262.1,33966.66,40747.1,41457.8,42629.6,39953.8,42673.9,45365.7,35278.6,28320.1,26239.8,39123.12,26423.4,32197.1,43646.4,35535.2,35585.9,35935.4,28356,31532.5,33174.7,33305,39078.9,26651.7,40515.6,40305.1,41459.6,48197.5,53751.2,47202.7,37615.9,32093.32
155.45,31703.52,32776.6,28167.52,28789.4,36080.8,25084.8,29113.1,24395.8,27111.8,29944.02,41533.1,36187.5,41167.7,45874.5,43928.6,35668,35656.9,31661.8,35043.5,28598.8,34726.5,35446.9,36196.1,34266.6,36169.8,38482,29929.3,24295,22434.3,33375.62,22481.5,27264.8,36844.8,30118,29856,30345.4,24080.1,26689.2,28161.1,28148.52,32700,22745.6,34466.1,34268.9,34983.3,40834.6,45595.1,40157.1,32108,26990.3
157.82,27910.4,27264.18,23700.94,24247.8,30229.9,21544.5,24740.4,20644.1,23054,25041.42,34924.1,30313,34646.4,38279.3,36945.3,29873,29864.1,26762.4,29353.6,23925.9,29331.9,29904.6,30433.3,28968.8,30519.7,32439.9,25073.6,20902.4,18993.2,28080.44,19084.4,23200.9,31058.6,25492.1,25010.2,25593.1,20394.8,22796.6,23914.3,23753.28,27439.3,19357.1,29010.3,28656.3,29361.6,34118.2,38492,33889.8,27093.6,22732.82
160.2,24900.96,23144.34,20166.26,20689.56,25871.5,18694.9,21363.7,17788.9,19882.5,21278.72,29594.9,25738.7,29434.8,32469.2,31132.5,25421.5,25361.8,23173.2,25047.4,20332.36,25287.8,25792.4,25852.8,25047.7,25880.2,27559.4,21468.9,18172,16399.3,24085.56,16488.3,20008.1,26428.2,22097.9,21332.6,22029.7,17561.7,19711.4,20602.5,20374.14,23343.7,16694.9,24810.9,24415.9,25017.3,28891.5,32727.3,28729.2,23418.4,19480.82
162.57,23273.04,20825.3,18203.02,18714.3,23413.7,17074.1,19386,16049.2,18162.1,19210.44,26669.4,23127.5,26384.3,29107.2,28008.1,22944.9,22898.8,21090.7,22704.3,18282.74,23046.6,23447.8,23261.5,22795,23494.4,24986.5,19505.7,16524.2,14867.3,21829.2,15010,18213.4,23942.5,20091.6,19384,19945,15934.3,17938.3,18753.4,18454.98,21119.2,15215.1,22581.6,22148.2,22545.9,26155.9,29513.5,26074.2,21473,17600.5
164.94,22475.46,19575.1,17246,17658.76,22128.8,16311.9,18501.8,15202.6,17176.4,18154.3,25056.7,21704.1,24897.1,27377.4,26292.3,21554.2,21611.5,20128.9,21409.7,17260.04,21707.5,22329.2,22127.3,21645.1,22231.3,23647.8,18429.1,15653.1,14133.6,20619.3,14190.6,17149.3,22509.9,18804.5,18361.6,18930.8,15177.6,17023.8,17772,17424.8,19744.7,14519.1,21216.7,20883.2,21258.7,24495.8,27766.7,24653.5,20336.3,16603
167.31,21655.94,18377.36,16163.22,16632.08,20730,15419.6,17338.8,14316.3,16072.7,17072.34,23586.8,20500.5,23443.7,25588.5,24633.2,20328.6,20181.4,19031.3,20156.2,16219.08,20615.9,20908.7,20854.4,20430.4,20962.5,22158.9,17351,14656.4,13321.5,19470.48,13391,16258.6,21138.9,17851,17178,17941.3,14283.8,16116.4,16777.9,16471.92,18581.7,13688.9,19982.4,19629.7,19951.9,23027.8,26041.9,23099,19164,15647.72
169.68,20787.02,17241.04,15219.44,15608.92,19441.2,14662.2,16264.7,13439.1,15200,16012.84,22197.2,19257.8,22022.5,23978.5,23164.7,19086.5,18982.2,17911.4,18880.8,15166.84,19386.2,19755.8,19642,19163.7,19688.6,20811,16377.9,13755.6,12514,18354.44,12615.4,15402.2,19720.3,16775.7,16109.9,16755.6,13435,15164.8,15812.6,15434.64,17427.3,12825.8,18840.5,18400.4,18677.9,21555.8,24333.9,21566.8,18096,14648.28
