Raman Shift,Rover_Sol_001,Rover_Sol_002,Rover_Sol_003,Rover_Sol_004,Rover_Sol_005,Rover_Sol_006,Rover_Sol_007,Rover_Sol_008,Rover_Sol_009,Rover_Sol_010
120.0,14573.83,6909.38,11495.88,6439.79,5126.44,8741.87,25426.77,331.67,151.94,476.05
122.5,14613.83,8620.65,11848.68,8005.46,5076.4,9323.52,27794.46,1270.03,50.0,252.12
125.0,15548.88,10211.4,12490.28,8739.94,5491.36,9511.84,28012.44,588.34,501.89,410.19
127.5,15919.91,11548.55,12842.64,8959.05,5260.09,9906.94,28920.93,962.98,937.73,391.17
130.0,15940.4,11601.02,12274.33,8873.99,5300.12,9484.82,28940.73,1879.54,845.06,497.85
132.5,15551.24,9551.64,12200.56,8966.8,5260.31,8881.26,28736.79,557.58,352.45,575.97
135.0,14854.94,8999.4,11464.18,7898.76,5231.19,8487.93,27445.97,650.58,553.14,444.31
137.5,13549.6,7293.81,10673.12,6651.05,5137.15,7335.07,25780.41,920.31,266.67,220.12
140.0,12355.17,4982.86,9610.5,5242.89,4965.03,6153.26,23483.05,615.55,294.06,438.29
142.5,11456.24,4022.61,8646.57,4542.15,4661.11,5601.13,21807.97,1274.08,314.72,832.7
145.0,9802.07,3209.01,7839.89,3919.46,4205.72,4457.87,20405.84,754.55,487.68,681.17
147.5,8140.81,1654.22,6251.97,3570.55,4223.65,3795.23,16740.29,1218.16,495.63,50.0
150.0,6896.74,1675.16,5218.51,2198.83,3812.85,2794.63,14116.77,498.89,573.23,432.79
152.5,5772.14,1083.61,4242.84,1463.4,3688.36,1993.03,11338.04,354.0,646.45,569.9
155.0,5127.99,1161.09,3875.28,1018.65,3114.27,2484.94,9499.68,993.1,469.12,394.85
157.5,4106.2,1979.63,2830.37,1399.04,2690.93,2125.08,7815.95,554.74,535.69,351.5
160.0,3496.5,1514.62,2332.88,552.48,2641.58,1729.23,6126.44,1799.12,335.28,382.26
162.5,2539.09,2096.87,1852.06,1276.6,2575.54,1241.98,5010.08,770.45,291.06,511.56
165.0,2212.06,1636.4,1490.62,1381.53,2170.61,1269.42,4621.77,1105.86,263.93,244.25
167.5,1964.58,3203.22,1472.12,1311.75,1903.67,1884.3,3656.49,1845.77,645.81,612.48
170.0,1403.37,3178.8,1918.62,1185.02,1618.74,1529.13,13207.27,1720.6,470.78,416.94
172.5,1426.07,3347.32,1952.67,1560.29,1846.94,1746.98,1998.54,1686.34,198.75,278.94
175.0,971.07,4053.53,1993.28,1591.91,1317.66,2984.24,2935.86,3413.7,520.21,603.45
177.5,1010.33,3889.74,2825.42,1493.97,1282.14,3033.75,2756.26,2754.01,309.91,183.65
180.0,1049.89,5241.03,3424.36,2628.81,1442.57,4499.76,2808.07,3638.16,826.97,339.83
182.5,981.45,5261.02,4345.72,2291.01,1121.96,4720.1,4717.22,4326.65,429.58,337.6
185.0,1818.01,5809.92,6082.19,3174.54,1692.48,6898.73,6257.78,5485.19,653.89,765.4
187.5,2098.72,6210.43,7614.99,2843.65,1802.2,9380.14,6838.37,6332.15,727.06,320.49
190.0,3050.57,6647.78,9264.41,5000.77,2149.68,11173.19,9598.68,6917.36,365.9,89.49
192.5,4230.15,7490.37,10774.24,6314.05,2509.94,13922.01,12303.81,8300.81,554.09,337.47
195.0,5409.07,7720.08,12545.04,7407.4,2904.54,16812.86,15173.98,9652.41,652.24,501.12
197.5,6654.41,8159.93,14280.83,9410.8,3333.05,20889.06,17212.92,11438.22,607.32,553.2
200.0,7405.48,8183.86,15586.54,11401.19,4047.69,23705.39,19293.75,12223.59,725.13,788.48
